,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
4,48,2,80,11-03-20,0,0,,3,ICT,2,8
5,61,0,95,11-03-20,0,0,,6,Punjab,0,7
6,84,14,171,11-03-20,1,0,,1,Sindh,13,55
7,20,0,28,11-03-20,0,0,,0,KP,0,2
8,3,0,0,11-03-20,0,0,,0,KPTD,0,0
9,19,1,18,11-03-20,0,0,,4,Balochistan,1,4
10,3,0,4,11-03-20,0,0,,0,AJK,0,0
11,10,2,26,11-03-20,0,0,,0,GB,2,4
4,52,2,85,12-03-20,0,0,,4,ICT,2,5
5,67,0,105,12-03-20,0,0,,6,Punjab,0,10
6,89,14,198,12-03-20,2,0,,5,Sindh,12,27
7,24,0,29,12-03-20,0,0,,4,KP,0,1
8,3,0,0,12-03-20,0,0,,0,KPTD,0,0
9,23,1,18,12-03-20,0,0,,4,Balochistan,1,4
10,3,0,8,12-03-20,0,0,,0,AJK,0,4
11,10,3,28,12-03-20,0,0,,0,GB,3,2
4,57,2,92,13-03-20,0,0,,5,ICT,2,7
5,71,0,110,13-03-20,0,0,,4,Punjab,0,5
6,107,15,240,13-03-20,2,0,,18,Sindh,13,42
7,27,0,30,13-03-20,0,0,,3,KP,0,1
8,4,0,0,13-03-20,0,0,,1,KPTD,0,0
9,31,1,18,13-03-20,0,0,,8,Balochistan,1,0
10,4,0,9,13-03-20,0,0,,1,AJK,0,1
11,17,3,32,13-03-20,0,0,,7,GB,3,4
4,62,3,99,14-03-20,0,0,,5,ICT,3,7
5,77,0,116,14-03-20,0,0,,6,Punjab,0,6
6,119,16,282,14-03-20,3,0,,12,Sindh,13,42
7,29,0,31,14-03-20,0,0,,2,KP,0,1
8,4,0,0,14-03-20,0,0,,0,KPTD,0,0
9,45,6,35,14-03-20,0,0,,14,Balochistan,6,17
10,4,0,10,14-03-20,0,0,,0,AJK,0,1
11,23,3,36,14-03-20,0,0,,6,GB,3,4
4,65,4,115,15-03-20,0,0,,3,ICT,4,16
5,83,0,126,15-03-20,0,0,,6,Punjab,0,10
6,127,18,315,15-03-20,3,0,,8,Sindh,15,33
7,30,0,32,15-03-20,0,0,,1,KP,0,1
8,5,0,0,15-03-20,0,0,,1,KPTD,0,0
9,45,6,42,15-03-20,0,0,,0,Balochistan,6,7
10,4,0,11,15-03-20,0,0,,0,AJK,0,1
11,23,3,45,15-03-20,0,0,,0,GB,3,9
4,69,4,147,16-03-20,0,0,,4,ICT,4,32
5,95,1,166,16-03-20,0,0,,12,Punjab,1,40
6,135,34,364,16-03-20,3,0,,8,Sindh,32,49
7,36,0,32,16-03-20,0,0,,6,KP,0,0
8,5,0,0,16-03-20,0,0,,0,KPTD,0,0
9,70,5,40,16-03-20,0,0,,21,Balochistan,10,12
10,9,0,11,16-03-20,0,0,,1,AJK,0,0
11,23,3,45,16-03-20,0,0,,0,GB,3,0
12,0,6,28,16-03-20,0,0,,0,Mobile Lab,0,6
4,76,4,581,17-Mar-2020,1,0,,7,ICT,3,195
5,112,1,166,17-03-20,0,0,,17,Punjab,1,No 0
7,140,150,554,17-03-20,3,0,,5,Sindh,147,190
8,52,15,51,17-03-20,0,0,,25,KP,15,19
9,5,0,0,17-03-20,0,0,,0,KPTD,0,0
10,103,14,163,17-03-20,0,0,,33,Balochistan,14,95
11,20,0,11,17-03-20,0,0,,11,AJK,0,0
12,25,3,45,17-03-20,0,0,,2,GB,3,0
4,84,8,627,18-03-20,1,0,,8,ICT,3,0
5,129,26,133,18-03-20,0,0,,17,Punjab,26,0
6,151,172,606,18-03-20,3,0,,11,Sindh,169,0
7,58,17,42,18-03-20,0,0,,6,KP,17,0
8,6,0,0,18-03-20,0,0,,1,KPTD,0,0
9,134,15,151,18-03-20,0,0,,79,Balochistan,15,0
10,21,0,11,18-03-20,0,0,,1,AJK,0,0
11,29,3,51,18-03-20,0,0,,4,GB,5,0
4,103,5,184,19-Mar-2020,2,0,,19,ICT,3,0
5,158,33,254,19-03-20,0,0,,29,Punjab,33,0
6,173,208,908,19-03-20,3,0,,22,Sindh,205,0
7,72,19,67,19-03-20,0,2,,18,KP,17,0
8,7,0,0,19-03-20,0,0,,1,KPTD,0,0
9,134,23,637,19-03-20,0,0,,0,Balochistan,23,0
11,23,1,23,19-03-20,0,0,,2,AJK,1,0
12,64,13,90,19-03-20,0,0,,35,GB,11,0
4,137,10,277,20-03-20,2,0,,34,ICT,8,0
5,182,80,872,20-Mar-2020,0,0,,24,Punjab,80,0
6,182,245,1210,20-03-20,3,0,,9,Sindh,242,0
7,94,23,67,20-03-20,0,2,,22,KP,21,0
8,19,0,0,20-03-20,0,0,,12,KPTD,0,0
9,650,81,805,20-03-20,0,0,,364,Balochistan,81,0
10,36,1,36,20-03-20,0,0,,13,AJK,1,0
11,64,21,143,20-03-20,0,0,,0,GB,21,0
4,171,11,325,21-Mar-2020,2,0,,34,ICT,9,0
5,196,96,894,21-Mar-2020,0,0,,14,Punjab,96,0
6,210,253,1497,21-03-20,3,1,,28,Sindh,249,0
7,130,23,130,21-03-20,0,2,,31,KP,21,0
8,21,0,0,21-03-20,0,0,,2,KPTD,0,0
9,698,81,805,21-03-20,0,0,,47,Balochistan,81,0
10,40,1,40,21-Mar-2020,0,0,,4,AJK,1,0
11,310,30,310,21-03-20,0,0,,220,GB,30,0
4,188,11,366,22-03-20,2,0,,17,ICT,9,0
5,246,152,1361,22-03-20,0,0,,50,Punjab,152,0
6,232,396,1497,22-03-20,3,1,,22,Sindh,392,0
7,155,31,264,22-03-20,0,2,,25,KP,29,0
8,21,0,0,22-03-20,0,0,,0,KPTD,0,0
9,1380,104,1380,22-03-20,0,0,,593,Balochistan,104,0
10,42,1,42,22-03-20,0,0,,2,AJK,1,0
11,310,55,315,22-03-20,0,0,,0,GB,55,0
4,198,15,404,23-Mar-2020,2,0,,10,ICT,13,0
5,257,225,1436,23-03-20,0,0,,11,Punjab,225,0
6,232,333,1512,23-03-20,4,1,,0,Sindh,328,0
8,196,31,305,23-03-20,0,3,,41,KP,28,0
9,1405,108,1405,23-03-20,0,1,,25,Balochistan,107,0
10,44,1,44,23-03-20,0,0,,2,AJK,1,0
11,310,71,338,23-03-20,0,0,,0,GB,71,0
5,226,15,427,24-03-20,2,0,,28,ICT,13,0
6,257,249,1436,24-03-20,0,0,,0,Punjab,249,0
8,232,394,1579,24-Mar-2020,4,1,,0,Sindh,389,0
10,431,38,448,24-03-20,0,3,,235,KP,35,0
11,1407,110,1407,24-03-20,0,1,,2,Balochistan,109,0
12,60,1,60,24-03-20,0,0,,16,AJK,1,0
13,310,80,500,24-03-20,0,1,,0,GB,79,0
5,236,18,459,25-03-20,2,0,,10,ICT,16,0
6,257,296,1436,25-03-20,2,1,,0,Punjab,293,0
8,238,407,1579,25-03-20,14,1,,6,Sindh,392,0
9,538,78,566,25-03-20,0,3,,98,KP,75,0
10,1437,110,1437,25-03-20,0,1,,30,Balochistan,109,0
11,65,1,66,25-03-20,0,0,,5,AJK,1,0
12,347,81,580,25-03-20,0,1,,37,GB,80,0
5,255,25,561,26-03-20,2,0,,19,ICT,8,0
6,257,323,1436,26-Mar-2020,3,2,,0,Punjab,318,0
8,295,413,1592,26-Mar-2020,14,1,,37,Sindh,398,0
9,694,80,704,26-Mar-2020,2,3,,138,KP,75,0
10,1437,131,1455,26-Mar-2020,0,1,,0,Balochistan,130,0
12,77,1,77,26-Mar-2020,0,0,,12,AJK,1,0
13,347,84,624,26-Mar-2020,0,1,,0,GB,83,0
5,712,25,712,27-Mar-2020,2,0,,151,ICT,12,0
6,1298,408,2257,27-Mar-2020,3,3,,741,Punjab,402,0
7,4456,417,1592,27-Mar-2020,14,1,,416,Sindh,402,0
8,704,123,917,27-Mar-2020,2,3,,10,KP,118,0
9,1494,131,1512,27-Mar-2020,0,1,,57,Balochistan,130,0
10,83,2,83,27-Mar-2020,0,0,,6,AJK,2,0
11,777,91,762,27-Mar-2020,2,1,,430,GB,88,0
5,910,39,1056,28-Mar-2020,2,0,,198,ICT,8,0
6,3339,490,3310,28-Mar-2020,4,5,,210,Punjab,237,0
7,4807,457,5158,28-Mar-2020,14,1,,351,Sindh,294,0
8,820,180,1121,28-Mar-2020,2,3,,104,KP,50,0
9,1494,133,1657,28-Mar-2020,2,1,,22,Balochistan,122,0
10,90,2,97,28-Mar-2020,0,0,,7,AJK,2,0
11,787,107,832,28-Mar-2020,3,1,,45,GB,12,0
5,1067,43,1213,29-Mar-2020,2,0,30,157,ICT,11,0
6,3521,558,3492,29-Mar-2020,4,5,302,182,Punjab,247,0
7,5322,481,5673,29-Mar-2020,14,2,171,515,Sindh,294,0
8,928,188,1229,29-Mar-2020,2,4,122,108,KP,60,0
9,1601,138,1737,29-Mar-2020,2,1,5,136,Balochistan,130,0
10,97,2,97,29-Mar-2020,0,0,0,7,AJK,2,0
11,788,116,895,29-Mar-2020,4,1,99,1,GB,12,0
7,1200,51,1310,30-03-20,3,0,35,133,ICT,13,0
8,3616,593,3492,30-03-20,5,6,329,95,Punjab,253,0
9,5945,508,5945,30-03-20,16,5,181,623,Sindh,306,0
10,1022,195,1324,30-03-20,2,5,128,94,KP,60,0
11,1695,144,1710,30-03-20,2,1,8,94,Balochistan,133,0
12,105,6,105,30-03-20,0,0,0,8,AJK,6,0
13,862,128,862,30-03-20,4,1,111,74,GB,12,0
5,1395,58,1469,31-03-20,3,0,39,195,ICT,16,0
6,3770,652,2500,31-03-20,5,9,335,154,Punjab,303,0
7,6328,627,6328,31-03-20,42,7,263,383,Sindh,315,0
8,1334,221,1512,31-03-20,2,6,143,312,KP,70,0
9,1825,153,1792,31-03-20,2,1,11,130,Balochistan,139,0
10,177,6,177,31-03-20,0,0,0,72,AJK,6,0
12,880,148,880,31-03-20,4,2,130,18,GB,12,0
6,1703,54,1703,01-04-20,3,0,35,122,ICT,16,0
7,4462,708,2720,01-04-20,5,9,337,692,Punjab,357,0
8,6578,676,6578,01-04-20,51,8,232,250,Sindh,385,0
9,1524,253,1271,01-04-20,2,6,171,190,KP,74,0
10,1934,158,1934,01-04-20,17,1,16,109,Balochistan,124,0
11,239,6,239,01-04-20,0,0,0,62,AJK,6,0
13,891,184,750,01-04-20,4,2,166,11,GB,12,0
6,1997,62,1997,02-04-20,3,0,44,294,ICT,15,0
7,5086,845,2945,02-04-20,6,11,444,624,Punjab,384,0
8,6926,743,6926,02-04-20,58,9,289,348,Sindh,387,0
9,1814,276,1814,02-04-20,19,8,165,290,KP,84,0
10,2049,169,2049,02-04-20,17,1,26,115,Balochistan,125,0
11,249,9,249,02-04-20,0,0,0,10,AJK,9,0
13,894,187,797,02-04-20,4,2,169,3,GB,12,0
6,2395,68,2395,03-04-20,3,0,47,398,ICT,18,0
7,5522,920,15134,03-04-20,6,11,447,436,Punjab,456,0
8,7504,783,7504,03-04-20,65,11,297,578,Sindh,410,0
9,1938,311,1938,03-04-20,30,9,180,124,KP,92,0
10,2171,169,2171,03-04-20,17,1,26,122,Balochistan,125,0
11,322,9,322,03-04-20,0,0,0,73,AJK,9,0
13,961,190,844,03-04-20,5,3,170,67,GB,12,0
6,343,11,343,04-04-20,0,0,0,21,AJK,11,21
7,2401,175,2401,04-04-20,17,1,25,230,Balochistan,132,0
8,963,193,860,04-04-20,9,3,169,2,GB,12,844
9,2569,75,2569,04-04-20,3,0,58,174,ICT,14,174
10,2369,343,1624,04-04-20,30,11,210,431,KP,92,181
11,5456,1072,16508,04-04-20,6,11,549,334,Punjab,506,1087
13,8625,839,8625,04-04-20,65,14,369,1121,Sindh,391,1121
6,385,12,385,05-04-20,1,0,0,42,AJK,11,42
7,2513,185,2513,05-04-20,17,1,34,132,Balochistan,133,132
8,1058,206,975,05-04-20,9,3,182,95,GB,12,116
9,2744,78,2744,05-04-20,3,0,65,175,ICT,10,175
10,2548,372,1769,05-04-20,30,14,233,179,KP,95,147
11,7859,1163,17653,05-04-20,25,12,600,2403,Punjab,526,1145
13,8846,864,8846,05-04-20,85,15,374,221,Sindh,390,221
6,400,15,400,06-04-20,1,0,0,15,AJK,14,15
7,3504,191,2777,06-04-20,30,1,48,419,Balochistan,112,264
8,1062,210,998,06-04-20,13,3,182,4,GB,12,23
9,2871,82,2871,06-04-20,3,0,68,127,ICT,11,127
10,2882,405,1974,06-04-20,62,16,207,334,KP,120,205
11,8682,1493,17724,06-04-20,25,15,800,823,Punjab,653,1014
13,9131,881,9131,06-04-20,123,15,380,285,Sindh,363,285
6,484,18,484,07-04-20,1,0,0,84,AJK,17,84
7,3456,202,2998,07-04-20,63,1,51,371,Balochistan,87,221
8,1111,211,1015,07-04-20,15,3,179,49,GB,14,17
9,2921,83,2921,07-04-20,3,1,62,50,ICT,17,50
10,3016,500,2103,07-04-20,69,17,276,134,KP,138,129
11,9386,1918,20073,07-04-20,25,15,1127,704,Punjab,751,1929
13,9589,932,9589,07-04-20,253,17,375,658,Sindh,287,658
6,534,19,534,08-04-20,1,0,0,50,AJK,18,50
7,3549,206,3091,08-04-20,75,2,52,93,Balochistan,77,93
8,1175,212,1127,08-04-20,15,3,180,64,GB,14,112
9,3096,92,3096,08-04-20,3,1,71,175,ICT,17,175
10,3068,527,2262,08-04-20,70,18,242,52,KP,197,159
11,10347,2030,21826,08-04-20,34,16,1267,961,Punjab,713,1853
13,10223,986,10223,08-04-20,269,18,396,634,Sindh,303,634
6,581,28,581,09-04-20,1,0,0,47,AJK,27,47
7,3709,212,3216,09-04-20,76,2,57,160,Balochistan,77,125
8,1211,213,1143,09-04-20,96,3,100,36,GB,14,16
9,3233,102,3233,09-04-20,10,1,80,137,ICT,11,137
10,3322,560,2662,09-04-20,74,20,298,254,KP,168,400
11,11741,2171,23080,09-04-20,35,17,1367,1394,Punjab,752,1254
13,10981,1036,10981,09-04-20,280,20,382,758,Sindh,354,758
6,631,33,631,10-04-20,1,0,0,50,AJK,32,50
7,4009,219,3405,10-04-20,89,1,59,300,Balochistan,70,189
8,1334,215,1266,10-04-20,111,3,87,123,GB,14,123
9,3375,107,3375,10-04-20,10,1,78,142,ICT,18,142
10,3687,620,2871,10-04-20,128,22,269,365,KP,201,209
11,13720,2279,31535,10-04-20,39,18,1477,1979,Punjab,745,1123
13,11623,1128,11623,10-04-20,349,21,436,642,Sindh,322,642
6,745,34,745,11-04-20,1,0,0,114,AJK,33,114
7,4109,220,3694,11-04-20,95,1,56,100,Balochistan,68,289
8,1424,215,1334,11-04-20,125,3,70,90,GB,17,68
9,3480,113,3480,11-04-20,13,1,84,105,ICT,15,105
10,3768,656,3046,11-04-20,131,25,299,81,KP,201,175
11,15850,2336,33328,11-04-20,39,19,1514,2130,Punjab,764,1120
13,12209,1214,12209,11-04-20,358,22,521,586,Sindh,313,586
6,813,35,813,12-04-20,1,0,0,68,AJK,34,68
7,4099,228,3812,12-04-20,95,2,70,83,Balochistan,62,118
8,1488,216,1408,12-04-20,146,3,58,64,GB,9,74
9,3570,119,3570,12-04-20,13,1,88,90,ICT,17,90
10,4232,697,3259,12-04-20,142,31,314,464,KP,210,213
11,18520,2425,36199,12-04-20,258,21,1381,2670,Punjab,765,1711
13,12740,1318,12740,12-04-20,371,28,576,531,Sindh,343,531
6,910,40,910,13-04-20,2,0,0,97,AJK,38,97
7,4222,230,3906,13-04-20,123,2,65,123,Balochistan,40,94
8,1553,224,1476,13-04-20,149,3,63,65,GB,9,68
9,3836,131,3836,13-04-20,15,1,91,266,ICT,24,266
10,4305,744,3478,13-04-20,145,34,354,73,KP,211,219
11,19395,2594,38199,13-04-20,272,23,1467,875,Punjab,832,1920
13,13309,1411,13309,13-04-20,389,30,645,569,Sindh,347,569
6,992,43,992,14-04-20,4,0,0,82,AJK,39,82
7,4341,231,4012,14-04-20,124,2,71,119,Balochistan,34,106
8,1644,233,1563,14-04-20,155,3,66,91,GB,9,87
9,3947,131,3947,14-04-20,15,1,96,111,ICT,19,111
10,4783,800,3793,14-04-20,153,35,401,478,KP,211,315
11,21885,2826,41781,14-04-20,508,24,1592,2490,Punjab,702,1925
13,13840,1452,13840,14-04-20,419,31,648,531,Sindh,354,531
6,1029,46,1029,15-04-20,4,0,0,37,AJK,42,37
7,4298,240,4100,15-04-20,137,2,81,95,Balochistan,20,88
8,1742,234,1618,15-04-20,175,3,51,98,GB,5,55
9,4473,140,4473,15-04-20,17,1,106,120,ICT,16,120
10,5088,865,4151,15-04-20,178,38,438,305,KP,211,358
11,24726,2945,43565,15-04-20,508,28,1650,2841,Punjab,759,1959
13,14503,1518,14503,15-04-20,427,35,613,663,Sindh,443,663
6,1081,46,1081,16-04-20,9,0,0,52,AJK,37,52
7,4370,280,4299,16-04-20,140,3,112,72,Balochistan,25,199
8,1839,237,1664,16-04-20,178,3,51,97,GB,5,46
9,4824,145,4824,16-04-20,17,1,110,351,ICT,17,351
10,5410,912,4524,16-04-20,191,42,468,322,KP,211,373
11,27803,3217,46561,16-04-20,550,34,1877,3077,Punjab,756,2996
13,16026,1668,16026,16-04-20,560,41,748,1523,Sindh,319,1523
6,1135,46,1135,17-04-20,9,0,0,54,AJK,37,54
7,4490,303,4427,17-04-20,142,5,123,120,Balochistan,33,128
8,1932,245,1826,17-04-20,183,3,54,93,GB,5,162
9,5150,154,5150,17-04-20,20,1,111,326,ICT,22,326
10,5758,993,4885,17-04-20,205,45,513,348,KP,230,361
11,29326,3276,48381,17-04-20,630,36,1843,1523,Punjab,767,2359
